amount,attemptCount,failureReason,priority,recommendedAction,recovered
2889.63,2,INSUFFICIENT_FUNDS,CRITICAL,SEND_REMINDER,0
1600.16,5,NETWORK_ERROR,LOW,STOP,0
19383.03,2,TIMEOUT,CRITICAL,ESCALATE_TO_HUMAN,1
17306.54,1,TIMEOUT,CRITICAL,WAIT_AND_RETRY,0
5377.54,4,INSUFFICIENT_FUNDS,CRITICAL,STOP,0
9784.76,2,INSUFFICIENT_FUNDS,MEDIUM,WAIT_AND_RETRY,1
10889.68,3,NETWORK_ERROR,LOW,STOP,0
18395.8,5,TIMEOUT,LOW,STOP,1
3797.92,5,NETWORK_ERROR,MEDIUM,ESCALATE_TO_HUMAN,1
17816.72,2,UNKNOWN,LOW,STOP,1
13181.73,5,UNKNOWN,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
14352.22,2,INSUFFICIENT_FUNDS,CRITICAL,SEND_REMINDER,0
6069.94,3,NETWORK_ERROR,LOW,ESCALATE_TO_HUMAN,1
11303.57,1,NETWORK_ERROR,MEDIUM,STOP,1
18671.86,1,TIMEOUT,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
16691.52,3,UNKNOWN,LOW,STOP,0
13301.44,2,INSUFFICIENT_FUNDS,LOW,WAIT_AND_RETRY,0
3193.41,3,UNKNOWN,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
12721.34,3,UNKNOWN,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
16937.46,1,DECLINED,HIGH,WAIT_AND_RETRY,1
15445.27,3,TIMEOUT,CRITICAL,STOP,0
11262.05,1,NETWORK_ERROR,MEDIUM,STOP,1
7447.4,5,TIMEOUT,CRITICAL,SEND_REMINDER,1
7356.57,1,INSUFFICIENT_FUNDS,MEDIUM,SEND_REMINDER,0
7138.2,5,DECLINED,MEDIUM,SEND_REMINDER,0
19526.5,2,DECLINED,LOW,SEND_REMINDER,0
6710.49,4,TIMEOUT,HIGH,SEND_REMINDER,0
2251.1,1,DECLINED,MEDIUM,SEND_REMINDER,0
9260.03,3,TIMEOUT,MEDIUM,WAIT_AND_RETRY,1
8029.47,3,NETWORK_ERROR,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
8053.6,5,INSUFFICIENT_FUNDS,LOW,WAIT_AND_RETRY,0
5298.18,5,INSUFFICIENT_FUNDS,LOW,WAIT_AND_RETRY,0
6979.17,3,DECLINED,LOW,ESCALATE_TO_HUMAN,0
3882.57,1,DECLINED,LOW,STOP,0
10815.19,2,INSUFFICIENT_FUNDS,CRITICAL,WAIT_AND_RETRY,0
18423.34,5,INSUFFICIENT_FUNDS,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
13371.17,3,DECLINED,HIGH,STOP,0
8466.88,4,TIMEOUT,HIGH,ESCALATE_TO_HUMAN,0
108.08,3,TIMEOUT,CRITICAL,STOP,0
6512.76,4,DECLINED,MEDIUM,STOP,0
18033.5,2,NETWORK_ERROR,HIGH,STOP,0
12423.29,1,TIMEOUT,HIGH,SEND_REMINDER,0
3032.34,1,TIMEOUT,CRITICAL,STOP,0
1549.28,4,UNKNOWN,MEDIUM,ESCALATE_TO_HUMAN,0
4955.29,1,NETWORK_ERROR,CRITICAL,SEND_REMINDER,1
19163.52,5,DECLINED,LOW,STOP,0
16981.89,4,TIMEOUT,CRITICAL,STOP,0
11949.5,4,UNKNOWN,CRITICAL,STOP,0
3267.24,4,DECLINED,HIGH,SEND_REMINDER,0
5618.5,5,DECLINED,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
14299.54,2,INSUFFICIENT_FUNDS,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
1703.5,2,TIMEOUT,CRITICAL,SEND_REMINDER,0
1378.15,4,INSUFFICIENT_FUNDS,CRITICAL,ESCALATE_TO_HUMAN,1
16674.53,4,UNKNOWN,LOW,STOP,0
217.33,3,INSUFFICIENT_FUNDS,CRITICAL,ESCALATE_TO_HUMAN,1
14719.22,5,TIMEOUT,CRITICAL,SEND_REMINDER,1
9764.28,4,INSUFFICIENT_FUNDS,CRITICAL,SEND_REMINDER,0
18398.88,5,UNKNOWN,LOW,ESCALATE_TO_HUMAN,0
13293.7,1,DECLINED,MEDIUM,ESCALATE_TO_HUMAN,1
5277.11,3,TIMEOUT,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
17604.84,3,DECLINED,HIGH,WAIT_AND_RETRY,0
15005.58,1,INSUFFICIENT_FUNDS,MEDIUM,WAIT_AND_RETRY,0
13069.92,1,TIMEOUT,MEDIUM,WAIT_AND_RETRY,1
4847.04,4,NETWORK_ERROR,MEDIUM,ESCALATE_TO_HUMAN,0
15361.27,2,UNKNOWN,LOW,SEND_REMINDER,0
2251.17,1,INSUFFICIENT_FUNDS,CRITICAL,ESCALATE_TO_HUMAN,0
4046.76,5,TIMEOUT,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
12048.19,1,UNKNOWN,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
13264.27,1,UNKNOWN,HIGH,WAIT_AND_RETRY,0
16464.39,1,DECLINED,HIGH,ESCALATE_TO_HUMAN,0
8766.19,5,INSUFFICIENT_FUNDS,CRITICAL,ESCALATE_TO_HUMAN,0
14647.42,3,INSUFFICIENT_FUNDS,MEDIUM,WAIT_AND_RETRY,1
9070.96,4,UNKNOWN,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
17033.96,2,DECLINED,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
6872.74,5,INSUFFICIENT_FUNDS,LOW,STOP,0
1803.7,4,DECLINED,MEDIUM,ESCALATE_TO_HUMAN,0
9867.34,1,NETWORK_ERROR,HIGH,SEND_REMINDER,1
4941.77,5,INSUFFICIENT_FUNDS,CRITICAL,STOP,0
8567.53,5,INSUFFICIENT_FUNDS,HIGH,ESCALATE_TO_HUMAN,1
5102.93,1,TIMEOUT,HIGH,WAIT_AND_RETRY,1
19022.46,2,TIMEOUT,MEDIUM,ESCALATE_TO_HUMAN,1
11832.78,5,UNKNOWN,HIGH,WAIT_AND_RETRY,0
5995.3,3,TIMEOUT,HIGH,WAIT_AND_RETRY,1
2619.0,1,NETWORK_ERROR,HIGH,SEND_REMINDER,1
15080.56,1,NETWORK_ERROR,HIGH,ESCALATE_TO_HUMAN,1
6880.05,1,INSUFFICIENT_FUNDS,CRITICAL,WAIT_AND_RETRY,0
8074.08,1,UNKNOWN,LOW,SEND_REMINDER,1
11300.51,3,NETWORK_ERROR,MEDIUM,WAIT_AND_RETRY,1
8381.86,5,UNKNOWN,MEDIUM,STOP,0
18179.24,3,UNKNOWN,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
1298.58,1,TIMEOUT,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
3225.44,2,UNKNOWN,LOW,SEND_REMINDER,1
9065.02,5,DECLINED,HIGH,WAIT_AND_RETRY,0
14168.42,4,NETWORK_ERROR,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
12538.65,2,DECLINED,LOW,STOP,0
3064.89,3,TIMEOUT,LOW,WAIT_AND_RETRY,1
6221.48,5,INSUFFICIENT_FUNDS,CRITICAL,WAIT_AND_RETRY,0
6151.41,4,INSUFFICIENT_FUNDS,CRITICAL,ESCALATE_TO_HUMAN,1
893.23,4,INSUFFICIENT_FUNDS,HIGH,WAIT_AND_RETRY,1
19242.03,5,UNKNOWN,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
15285.87,2,DECLINED,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
11748.06,4,NETWORK_ERROR,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
6489.06,1,TIMEOUT,HIGH,ESCALATE_TO_HUMAN,1
5835.53,4,UNKNOWN,LOW,ESCALATE_TO_HUMAN,1
5122.74,1,DECLINED,LOW,STOP,0
1178.66,5,INSUFFICIENT_FUNDS,CRITICAL,ESCALATE_TO_HUMAN,0
4150.81,5,TIMEOUT,HIGH,ESCALATE_TO_HUMAN,0
9745.76,1,UNKNOWN,MEDIUM,SEND_REMINDER,1
372.12,4,NETWORK_ERROR,MEDIUM,WAIT_AND_RETRY,1
2437.58,2,DECLINED,HIGH,STOP,0
8368.26,4,DECLINED,MEDIUM,ESCALATE_TO_HUMAN,0
7733.36,5,UNKNOWN,MEDIUM,WAIT_AND_RETRY,1
15821.12,4,INSUFFICIENT_FUNDS,HIGH,WAIT_AND_RETRY,1
6041.26,5,UNKNOWN,CRITICAL,SEND_REMINDER,0
9738.39,3,UNKNOWN,CRITICAL,ESCALATE_TO_HUMAN,0
17405.07,2,UNKNOWN,CRITICAL,SEND_REMINDER,0
8274.42,3,DECLINED,CRITICAL,ESCALATE_TO_HUMAN,0
15868.63,2,DECLINED,LOW,SEND_REMINDER,0
11844.59,1,DECLINED,LOW,STOP,0
405.42,2,DECLINED,MEDIUM,WAIT_AND_RETRY,0
19387.15,3,UNKNOWN,CRITICAL,WAIT_AND_RETRY,0
17061.59,5,DECLINED,HIGH,ESCALATE_TO_HUMAN,0
814.39,1,TIMEOUT,HIGH,SEND_REMINDER,1
8736.03,1,NETWORK_ERROR,CRITICAL,SEND_REMINDER,1
18078.14,1,INSUFFICIENT_FUNDS,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
8670.67,2,UNKNOWN,CRITICAL,STOP,0
3683.13,2,NETWORK_ERROR,CRITICAL,STOP,0
10003.58,5,TIMEOUT,MEDIUM,ESCALATE_TO_HUMAN,0
9245.45,1,DECLINED,HIGH,STOP,0
8890.42,3,UNKNOWN,HIGH,ESCALATE_TO_HUMAN,0
9191.03,3,TIMEOUT,CRITICAL,ESCALATE_TO_HUMAN,1
7689.15,3,UNKNOWN,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
16617.75,4,INSUFFICIENT_FUNDS,LOW,STOP,0
15588.4,1,UNKNOWN,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
4679.36,3,TIMEOUT,MEDIUM,STOP,1
15135.99,2,NETWORK_ERROR,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
763.95,3,TIMEOUT,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
8368.51,2,TIMEOUT,HIGH,STOP,0
5523.29,2,INSUFFICIENT_FUNDS,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
6840.43,1,DECLINED,LOW,SEND_REMINDER,0
4589.73,4,UNKNOWN,HIGH,WAIT_AND_RETRY,0
376.98,5,NETWORK_ERROR,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
13479.58,5,DECLINED,HIGH,WAIT_AND_RETRY,0
9482.39,5,UNKNOWN,HIGH,STOP,0
1358.02,4,INSUFFICIENT_FUNDS,CRITICAL,WAIT_AND_RETRY,1
18930.6,3,DECLINED,LOW,WAIT_AND_RETRY,1
10797.18,4,DECLINED,HIGH,STOP,0
14871.15,2,DECLINED,LOW,ESCALATE_TO_HUMAN,0
18787.16,3,NETWORK_ERROR,HIGH,SEND_REMINDER,1
19016.05,3,NETWORK_ERROR,HIGH,STOP,0
12932.05,1,DECLINED,HIGH,SEND_REMINDER,0
18985.31,4,NETWORK_ERROR,MEDIUM,STOP,0
1106.51,3,TIMEOUT,MEDIUM,STOP,1
16613.37,5,TIMEOUT,MEDIUM,SEND_REMINDER,1
3036.33,5,NETWORK_ERROR,HIGH,SEND_REMINDER,0
10850.29,2,NETWORK_ERROR,LOW,SEND_REMINDER,1
15820.69,2,UNKNOWN,HIGH,WAIT_AND_RETRY,1
1142.74,4,UNKNOWN,LOW,WAIT_AND_RETRY,0
15582.54,5,UNKNOWN,LOW,ESCALATE_TO_HUMAN,0
18913.77,1,UNKNOWN,HIGH,ESCALATE_TO_HUMAN,0
719.9,4,DECLINED,CRITICAL,WAIT_AND_RETRY,0
18203.05,1,NETWORK_ERROR,HIGH,STOP,1
2611.21,5,UNKNOWN,HIGH,ESCALATE_TO_HUMAN,0
10658.08,4,UNKNOWN,CRITICAL,WAIT_AND_RETRY,0
2376.84,5,TIMEOUT,CRITICAL,ESCALATE_TO_HUMAN,0
8334.89,4,DECLINED,CRITICAL,WAIT_AND_RETRY,0
6319.22,3,INSUFFICIENT_FUNDS,MEDIUM,ESCALATE_TO_HUMAN,1
16652.26,1,DECLINED,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
11171.78,5,UNKNOWN,HIGH,WAIT_AND_RETRY,0
17484.79,4,NETWORK_ERROR,HIGH,STOP,0
2161.65,5,TIMEOUT,MEDIUM,ESCALATE_TO_HUMAN,1
2253.55,5,INSUFFICIENT_FUNDS,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
16163.71,5,UNKNOWN,LOW,STOP,0
16606.27,3,NETWORK_ERROR,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
6248.8,3,INSUFFICIENT_FUNDS,LOW,SEND_REMINDER,0
11369.79,4,NETWORK_ERROR,MEDIUM,WAIT_AND_RETRY,1
10656.61,4,DECLINED,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
6301.58,3,UNKNOWN,LOW,WAIT_AND_RETRY,1
15113.27,1,NETWORK_ERROR,HIGH,ESCALATE_TO_HUMAN,1
9764.67,4,DECLINED,HIGH,SEND_REMINDER,0
2364.97,4,NETWORK_ERROR,HIGH,STOP,0
13375.94,1,TIMEOUT,CRITICAL,STOP,1
4168.02,2,TIMEOUT,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
253.83,4,TIMEOUT,MEDIUM,ESCALATE_TO_HUMAN,0
4679.2,5,INSUFFICIENT_FUNDS,LOW,ESCALATE_TO_HUMAN,0
941.82,1,DECLINED,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
11510.65,4,INSUFFICIENT_FUNDS,LOW,ESCALATE_TO_HUMAN,1
6562.89,5,DECLINED,HIGH,WAIT_AND_RETRY,0
2206.68,4,UNKNOWN,CRITICAL,STOP,0
17423.44,3,TIMEOUT,HIGH,SEND_REMINDER,1
12701.17,5,UNKNOWN,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
19168.64,2,TIMEOUT,LOW,SEND_REMINDER,1
3552.63,2,NETWORK_ERROR,MEDIUM,ESCALATE_TO_HUMAN,1
11318.34,5,DECLINED,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
1458.9,4,INSUFFICIENT_FUNDS,HIGH,STOP,0
10196.0,3,DECLINED,CRITICAL,WAIT_AND_RETRY,1
16650.76,1,NETWORK_ERROR,CRITICAL,ESCALATE_TO_HUMAN,1
19089.21,1,DECLINED,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
10077.21,1,DECLINED,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
1778.15,2,NETWORK_ERROR,MEDIUM,ESCALATE_TO_HUMAN,0
10528.96,5,TIMEOUT,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
7809.59,3,UNKNOWN,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
1980.67,4,INSUFFICIENT_FUNDS,HIGH,STOP,0
6733.9,5,TIMEOUT,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
13999.75,4,TIMEOUT,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
12905.52,3,TIMEOUT,LOW,ESCALATE_TO_HUMAN,1
462.79,3,TIMEOUT,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
9776.79,2,TIMEOUT,MEDIUM,WAIT_AND_RETRY,1
15783.59,5,UNKNOWN,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
12398.83,5,DECLINED,MEDIUM,SEND_REMINDER,0
13887.63,5,TIMEOUT,CRITICAL,WAIT_AND_RETRY,1
13559.62,2,DECLINED,HIGH,ESCALATE_TO_HUMAN,1
4859.45,4,TIMEOUT,HIGH,STOP,0
9287.43,3,DECLINED,CRITICAL,SEND_REMINDER,0
16045.06,2,INSUFFICIENT_FUNDS,LOW,ESCALATE_TO_HUMAN,0
11135.36,1,UNKNOWN,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
3290.22,4,UNKNOWN,MEDIUM,ESCALATE_TO_HUMAN,1
18219.05,4,INSUFFICIENT_FUNDS,LOW,ESCALATE_TO_HUMAN,1
10089.94,2,DECLINED,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
6441.83,1,INSUFFICIENT_FUNDS,MEDIUM,SEND_REMINDER,1
18356.18,4,TIMEOUT,CRITICAL,ESCALATE_TO_HUMAN,0
18126.56,1,INSUFFICIENT_FUNDS,MEDIUM,SEND_REMINDER,1
14571.97,5,DECLINED,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
2524.78,2,DECLINED,CRITICAL,WAIT_AND_RETRY,1
18112.42,5,UNKNOWN,LOW,STOP,0
14399.03,3,DECLINED,LOW,STOP,0
11456.21,2,NETWORK_ERROR,HIGH,WAIT_AND_RETRY,0
10927.23,5,UNKNOWN,LOW,ESCALATE_TO_HUMAN,0
966.34,4,INSUFFICIENT_FUNDS,HIGH,WAIT_AND_RETRY,1
1444.44,2,NETWORK_ERROR,HIGH,SEND_REMINDER,1
10965.67,2,DECLINED,CRITICAL,SEND_REMINDER,0
1355.7,4,NETWORK_ERROR,HIGH,SEND_REMINDER,1
4069.45,1,INSUFFICIENT_FUNDS,HIGH,STOP,0
16326.58,4,INSUFFICIENT_FUNDS,LOW,SEND_REMINDER,0
17256.56,1,INSUFFICIENT_FUNDS,HIGH,WAIT_AND_RETRY,0
8795.33,4,DECLINED,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
9974.44,4,INSUFFICIENT_FUNDS,HIGH,WAIT_AND_RETRY,0
1670.65,5,TIMEOUT,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
6625.61,3,INSUFFICIENT_FUNDS,CRITICAL,STOP,0
3416.23,4,INSUFFICIENT_FUNDS,CRITICAL,WAIT_AND_RETRY,0
18240.98,5,DECLINED,HIGH,WAIT_AND_RETRY,1
12786.5,3,UNKNOWN,MEDIUM,WAIT_AND_RETRY,1
12190.7,4,NETWORK_ERROR,MEDIUM,WAIT_AND_RETRY,1
12938.74,3,DECLINED,LOW,STOP,0
9053.46,3,INSUFFICIENT_FUNDS,CRITICAL,WAIT_AND_RETRY,1
10636.25,4,INSUFFICIENT_FUNDS,HIGH,SEND_REMINDER,0
615.68,2,DECLINED,CRITICAL,STOP,0
15521.79,4,TIMEOUT,HIGH,ESCALATE_TO_HUMAN,1
2801.0,1,DECLINED,MEDIUM,ESCALATE_TO_HUMAN,0
16229.21,3,INSUFFICIENT_FUNDS,LOW,STOP,0
17837.5,2,TIMEOUT,HIGH,STOP,1
19704.14,2,TIMEOUT,CRITICAL,WAIT_AND_RETRY,1
11488.32,4,UNKNOWN,MEDIUM,STOP,0
1408.39,4,DECLINED,CRITICAL,ESCALATE_TO_HUMAN,0
1567.64,3,NETWORK_ERROR,CRITICAL,ESCALATE_TO_HUMAN,1
6955.84,5,UNKNOWN,MEDIUM,SEND_REMINDER,0
18223.17,1,NETWORK_ERROR,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
6520.95,2,INSUFFICIENT_FUNDS,HIGH,WAIT_AND_RETRY,1
12737.64,5,INSUFFICIENT_FUNDS,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
1959.23,2,UNKNOWN,MEDIUM,SEND_REMINDER,0
14440.59,5,INSUFFICIENT_FUNDS,LOW,WAIT_AND_RETRY,1
18976.08,5,INSUFFICIENT_FUNDS,MEDIUM,STOP,0
12815.92,4,UNKNOWN,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
16113.29,4,INSUFFICIENT_FUNDS,CRITICAL,WAIT_AND_RETRY,0
3245.8,4,DECLINED,CRITICAL,SEND_REMINDER,0
2959.01,3,INSUFFICIENT_FUNDS,CRITICAL,SEND_REMINDER,0
10348.1,1,INSUFFICIENT_FUNDS,MEDIUM,ESCALATE_TO_HUMAN,1
9046.96,2,NETWORK_ERROR,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
17296.86,4,TIMEOUT,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
14450.46,2,TIMEOUT,CRITICAL,STOP,0
17593.61,4,NETWORK_ERROR,LOW,ESCALATE_TO_HUMAN,0
19337.06,2,UNKNOWN,HIGH,WAIT_AND_RETRY,1
9948.39,4,INSUFFICIENT_FUNDS,LOW,WAIT_AND_RETRY,0
17660.87,3,DECLINED,HIGH,WAIT_AND_RETRY,0
11448.6,2,INSUFFICIENT_FUNDS,HIGH,WAIT_AND_RETRY,1
9062.05,5,INSUFFICIENT_FUNDS,LOW,SEND_REMINDER,0
7938.68,3,UNKNOWN,HIGH,SEND_REMINDER,1
10231.54,5,NETWORK_ERROR,LOW,WAIT_AND_RETRY,1
6727.51,4,UNKNOWN,CRITICAL,SEND_REMINDER,0
10358.56,3,UNKNOWN,HIGH,SEND_REMINDER,1
12368.36,3,UNKNOWN,HIGH,STOP,0
10693.56,5,INSUFFICIENT_FUNDS,CRITICAL,WAIT_AND_RETRY,0
13508.75,4,UNKNOWN,HIGH,WAIT_AND_RETRY,0
5384.06,5,UNKNOWN,MEDIUM,WAIT_AND_RETRY,0
3493.19,5,DECLINED,MEDIUM,SEND_REMINDER,1
18969.28,1,TIMEOUT,LOW,ESCALATE_TO_HUMAN,1
3113.48,2,DECLINED,CRITICAL,WAIT_AND_RETRY,0
10421.8,5,INSUFFICIENT_FUNDS,CRITICAL,STOP,0
19138.04,4,UNKNOWN,HIGH,STOP,0
15462.6,3,UNKNOWN,CRITICAL,SEND_REMINDER,0
5652.23,3,TIMEOUT,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
13835.77,4,INSUFFICIENT_FUNDS,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
18696.26,3,INSUFFICIENT_FUNDS,LOW,STOP,0
7655.91,4,INSUFFICIENT_FUNDS,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
19110.74,1,INSUFFICIENT_FUNDS,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
4358.34,5,INSUFFICIENT_FUNDS,HIGH,SEND_REMINDER,1
14843.73,2,TIMEOUT,LOW,STOP,1
4733.45,1,DECLINED,HIGH,ESCALATE_TO_HUMAN,1
15438.24,1,UNKNOWN,MEDIUM,ESCALATE_TO_HUMAN,0
17624.88,4,DECLINED,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
12953.37,1,UNKNOWN,MEDIUM,STOP,0
17021.63,1,TIMEOUT,CRITICAL,SEND_REMINDER,0
823.16,4,DECLINED,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
284.42,5,UNKNOWN,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
19783.08,5,UNKNOWN,CRITICAL,SEND_REMINDER,0
9413.61,2,NETWORK_ERROR,HIGH,SEND_REMINDER,1
13000.88,2,NETWORK_ERROR,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
15169.93,2,UNKNOWN,CRITICAL,ESCALATE_TO_HUMAN,0
1826.08,1,TIMEOUT,MEDIUM,ESCALATE_TO_HUMAN,1
5036.14,3,DECLINED,MEDIUM,ESCALATE_TO_HUMAN,0
19085.29,3,UNKNOWN,LOW,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
13886.09,1,NETWORK_ERROR,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
13752.87,3,NETWORK_ERROR,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
4460.66,2,DECLINED,MEDIUM,ESCALATE_TO_HUMAN,0
12154.21,4,UNKNOWN,CRITICAL,STOP,0
16529.51,2,UNKNOWN,LOW,STOP,0
14104.95,1,UNKNOWN,LOW,WAIT_AND_RETRY,0
18067.47,2,UNKNOWN,MEDIUM,SEND_REMINDER,1
10454.8,1,TIMEOUT,CRITICAL,WAIT_AND_RETRY,0
8965.11,1,DECLINED,MEDIUM,STOP,0
11321.83,5,DECLINED,HIGH,WAIT_AND_RETRY,0
16347.42,2,UNKNOWN,LOW,WAIT_AND_RETRY,1
14037.66,5,NETWORK_ERROR,LOW,ESCALATE_TO_HUMAN,1
8236.45,2,DECLINED,HIGH,ESCALATE_TO_HUMAN,0
18350.59,4,DECLINED,LOW,STOP,0
17219.7,1,TIMEOUT,CRITICAL,STOP,1
19576.62,1,NETWORK_ERROR,HIGH,ESCALATE_TO_HUMAN,1
10934.46,5,DECLINED,MEDIUM,SEND_REMINDER,0
